Comment,Designator,Footprint,LCSC
470uF,C2,C_Elec_8x10.2,
Voltmeter_DC,MES1,SuperSmallVoltmeter_twoline,
Conn_01x02_Male,J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,
MTP4835I3,Q1,TO-252-3_TabPin2,
Conn_01x02_Female,J5,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
MTP4835I3,Q3,TO-252-3_TabPin2,
Conn_01x02_Female,J4,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
SW_SPST,SW1,DS-850K-S-ON,
Conn_01x02_Female,J2,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
Fuse,F1,Fuseholder_Blade_Mini_Keystone_3568,
Conn_01x02_Female,J3,AMASS_XT30U-F_1x02_P5.0mm_Vertical,
1uF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1N5819WS,D2,D_SOD-323_HandSoldering,
100k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
BSS138,Q2,SOT-23,
10k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
